record_type,source_system,publisher,entity,title,summary,link,published_at,search_keyword,primary_hits,matched_tags,secondary_hits,language,region,title_kr,summary_kr,summary_source,collected_date,llm_keywords
news,google_rss,Bloomberg.com,Private Credit Industry,Sydney Developer in Distress Sounds Alarm for Private Credit - Bloomberg.com,Sydney Developer in Distress Sounds Alarm for Private Credit Bloomberg.com,https://www.bloomberg.com/news/articles/2026-08-28/top-sydney-builder-s-2-3-billion-debt-woes-hit-private-credit,2026-08-28 08:22:34,private credit,private credit,Credit_Risk,"distress, stress",en,US,"고심 겪는 시드니 개발업체, 사모신용에 경고음 울려",시드니 개발업체가 어려움을 겪으며 사모신용 시장에 대한 우려를 표명했음.,title_only,2026-08-29,"시드니, 개발업체"
news,google_rss,Bloomberg.com,Private Credit Industry,Private Credit Investors Prefer to Be Trapped Than Take 26% Loss - Bloomberg.com,Private Credit Investors Prefer to Be Trapped Than Take 26% Loss Bloomberg.com,https://www.bloomberg.com/news/articles/2026-08-27/private-credit-investors-prefer-to-be-trapped-than-take-26-loss,2026-08-27 14:20:41,private credit,private credit,Credit_Risk,loss,en,US,"사모신용 투자자, 26% 손실보다는 갇히는 것을 선호함",사모신용 투자자들은 26% 손실을 감수하는 대신 펀드에 갇히는 것을 선택했음. 이는 펀드 유동성 문제를 시사함.,title_only,2026-08-28,"투자자, 손실"
news,google_rss,Bloomberg.com,Private Credit Industry,Watch Moody’s Urges Tougher NAIC Treatment for Private Credit Ratings - Bloomberg.com,Watch Moody’s Urges Tougher NAIC Treatment for Private Credit Ratings Bloomberg.com,https://www.bloomberg.com/news/videos/2026-08-20/moody-s-urges-tougher-treatment-for-private-credit-video,2026-08-20 00:00:00,private credit,private credit,Credit_Risk,rating,en,US,"무디스, 민간 신용 등급에 대한 NAIC의 더 엄격한 처우 촉구",무디스는 민간 신용 등급에 대해 NAIC가 더 엄격한 규제를 적용할 것을 촉구했음.,title_only,2026-08-21,"무디스, NAIC, 민간 신용"
news,google_rss,CNBC,Private Credit Industry,From rescue capital to growth financing: Motilal Oswal Alts on private credit's new role in India - CNBC,From rescue capital to growth financing: Motilal Oswal Alts on private credit's new role in India CNBC,https://www.cnbc.com/video/2026/08/18/motilal-oswal-alternates-on-how-private-credit-is-evolving-in-india.html,2026-08-18 07:10:49,private credit,private credit,Liquidity_Redemption,cap,en,US,인도 민간 신용 시장의 새로운 역할: 구제 금융에서 성장 자금 조달로,"Motilal Oswal Alternates의 Rakshat Kapoor는 인도 민간 신용 시장이 구제 금융에서 성장 금융으로 전환하고 있다고 말했음. 설비 투자, 제조업, 에너지 전환이 수요를 견인하고 있음.",partial_body,2026-08-20,"인도, 민간 신용, Motilal Oswal Alternates"
news,google_rss,Bloomberg,Private Credit Industry,Stifel CEO sees liquidity mismatch in private credit - Bloomberg,Stifel CEO sees liquidity mismatch in private credit Bloomberg,https://www.bloomberg.com/professional/insights/markets/stifel-ceo-sees-liquidity-mismatch-in-private-credit/,2026-08-17 18:51:26,private credit,private credit,Liquidity_Redemption,liquidity,en,US,"Stifel CEO, 사모 신용 분야 유동성 불일치 가능성 언급",Stifel CEO가 사모 신용 분야에서 유동성 불일치가 있을 수 있다고 했음.,title_only,2026-08-19,"Stifel, 유동성"
news,google_rss,Bloomberg.com,"Blackstone, Blue Owl, Private Credit Industry","Blackstone, Blue Owl Private Credit Funds Offer High-Grade Bonds - Bloomberg.com","Blackstone, Blue Owl Private Credit Funds Offer High-Grade Bonds Bloomberg.com",https://www.bloomberg.com/news/articles/2026-08-17/blackstone-blue-owl-private-credit-funds-offer-high-grade-bonds,2026-08-17 14:02:08,private credit,"private credit, private credit fund, private credit funds","Captial_BlueOwl, Captial_Blackstone","Blue Owl, Blackstone",en,US,"블랙스톤, 블루아울 사모대출 펀드 고등급 채권 제공",블랙스톤과 블루아울 사모대출 펀드가 고등급 채권을 제공함.,title_only,2026-08-18,"Blackstone, Blue Owl, 채권"
news,google_rss,WSJ,Private Credit Industry,Private Credit Is Fearing ‘Shadow Defaults’ Because of This Lending Tactic - WSJ,Private Credit Is Fearing ‘Shadow Defaults’ Because of This Lending Tactic WSJ,https://www.wsj.com/video/private-credit-is-fearing-shadow-defaults-because-of-this-lending-tactic/D38E61FC-B6FD-4499-B7D2-77181B00AC6F,2026-08-11 14:03:32,private credit,private credit,"Market_Sentiment, Credit_Risk","default, defaults, fear",en,US,이 대출 전술 때문에 사모대출 업계가 '그림자 부도'를 두려워하고 있음,사모대출 업계가 특정 대출 전술로 인해 '그림자 부도' 가능성을 우려하고 있음. 이는 잠재적인 금융 불안을 야기할 수 있음.,title_only,2026-08-12,"그림자 부도, 대출 전술"
news,google_rss,CNBC,Private Credit Industry,Goldman Sachs' Reynolds: Private credit industry 'remains very healthy' amid uptick in defaults - CNBC,Goldman Sachs' Reynolds: Private credit industry 'remains very healthy' amid uptick in defaults CNBC,https://www.cnbc.com/video/2026/08/10/goldman-sachs-reynolds-private-credit-industry-remains-very-healthy-amid-uptick-in-defaults.html,2026-08-10 16:20:04,private credit,private credit,Credit_Risk,"default, defaults",en,US,골드만삭스 레이놀즈: 채무불이행 증가에도 사모신용 산업은 '매우 건전함',골드만삭스 에셋 매니지먼트의 제임스 레이놀즈는 채무불이행률 증가에도 사모신용 산업이 여전히 매우 건전하다고 밝혔음. AI가 포트폴리오 성과에 미치는 영향도 논의했음.,partial_body,2026-08-11,"Goldman Sachs, 채무불이행"
news,google_rss,Reuters,Private Credit Industry,Private credit roundup: Weaker results but redemption pressures ease - Reuters,Private credit roundup: Weaker results but redemption pressures ease Reuters,https://www.reuters.com/legal/transactional/private-credit-roundup-weaker-results-redemption-pressures-ease-2026-08-07/,2026-08-07 14:35:45,private credit,private credit,Liquidity_Redemption,"redemption, redemption pressure",en,US,"사모 신용 시장, 실적 약화 속 환매 압력 완화",사모 신용 시장에서 실적은 약화되었으나 환매 압력은 완화되었음.,title_only,2026-08-10,"사모 신용, 환매, 실적"
news,google_rss,Bloomberg.com,Private Credit Industry,Private Credit Funds Avert Worst Fears and Bounce Back From Lows - Bloomberg.com,Private Credit Funds Avert Worst Fears and Bounce Back From Lows Bloomberg.com,https://www.bloomberg.com/news/articles/2026-08-06/private-credit-funds-avert-worst-fears-and-bounce-back-from-lows,2026-08-06 16:57:37,private credit,"private credit, private credit fund, private credit funds",Market_Sentiment,fear,en,US,사모신용 펀드가 최악의 우려를 피하고 하락세에서 반등했음,사모신용 펀드가 예상보다 선방하며 하락세에서 회복했음.,title_only,2026-08-07,펀드
news,google_rss,Bloomberg.com,"Ares, Private Credit Industry",Ares Eyes $2 Billion Loan Deal in Private Credit’s Slow Year - Bloomberg.com,Ares Eyes $2 Billion Loan Deal in Private Credit’s Slow Year Bloomberg.com,https://www.bloomberg.com/news/articles/2026-08-05/ares-eyes-2-billion-loan-deal-in-slow-year-for-private-credit,2026-08-05 17:56:09,private credit,private credit,Captial_Others,Ares,en,US,"Ares, 사모신용 시장 둔화 속 20억 달러 대출 추진",Ares가 침체된 사모신용 시장에서 20억 달러 규모 대출을 추진했음.,title_only,2026-08-06,"Ares, 대출"
news,google_rss,CNBC,Private Credit Industry,"Private credit isn't a repeat of the 2008 global financial crisis, says Partners Group - CNBC","Private credit isn't a repeat of the 2008 global financial crisis, says Partners Group CNBC",https://www.cnbc.com/video/2026/08/05/private-credit-global-financial-crisis-says-partners-group.html,2026-08-05 04:34:00,private credit,private credit,Market_Sentiment,crisis,en,US,"파트너스그룹, 사모신용이 2008년 글로벌 금융위기 반복이 아니라고 밝힘",파트너스그룹의 Anastasia Amoroso는 사모신용 시장 규모가 작고 2008년과 같은 복잡한 대출 재포장이 없어 위기가 반복되지 않을 것이라고 주장했음. 다만 AI 거래의 레버리지와 '게임화'를 경고했음.,partial_body,2026-08-06,"금융위기, 파트너스그룹"
news,google_rss,MarketWatch,Private Credit Industry,Opinion: Private credit has a ratings problem and regulators need to step in - MarketWatch,Opinion: Private credit has a ratings problem and regulators need to step in MarketWatch,https://news.google.com/rss/articles/CBMixwFBVV95cUxPTlFlOFk2RFpMekZVbDJxckk5cWVXbjVHM18xV1g1c0hJR0RkdzBqREJqcXVzeDFOcXRLNVZsVV9kekp5aTc5RDdhTk10NFRBUzhXQlQ3SjQ5UFZMRnQtNzlBa1RUUWdfc0c0cGZ3SW9Tc1ZfYm5iSm9BdERSaERuWllsNFJTOTZWd1N0cUdSaXhHMHFvUDZOU09jOWY4b0tVeWh2bzRNU1VCYWhvclliWVoxeXhFNkRhWEtXbkt0b1A5VjZUWGpj?oc=5,2026-08-03 11:00:00,private credit,private credit,Credit_Risk,rating,en,US,"사모신용, 신용등급 문제 있어 규제 당국 개입 필요","사모신용 분야에 신용등급 문제가 있으며, 규제 당국의 개입이 필요함.",title_only,2026-08-05,"신용등급, 규제"
news,google_rss,Reuters,"Ares, Private Credit Industry",Ares hauls record $36 billion on private credit fundraising momentum - Reuters,Ares hauls record $36 billion on private credit fundraising momentum Reuters,https://www.reuters.com/legal/transactional/ares-hauls-record-36-billion-private-credit-fundraising-momentum-2026-07-31/,2026-07-31 16:19:12,private credit,"private credit, private credit fund",Captial_Others,Ares,en,US,"Ares, 사모신용 펀드모집 모멘텀으로 사상 최대 360억 달러 모금",Ares는 사모신용 펀드모집 모멘텀을 바탕으로 사상 최대 규모인 360억 달러를 성공적으로 모금했음.,title_only,2026-08-01,"Ares, 펀드모집, 360억 달러"
news,google_rss,Bloomberg.com,"Ares, Private Credit Industry",Ares Posts Record Fundraising Amid Private Credit Tumult - Bloomberg.com,Ares Posts Record Fundraising Amid Private Credit Tumult Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-31/ares-posts-record-fundraising-quarter-amid-private-credit-tumult,2026-07-31 13:54:49,private credit,private credit,Captial_Others,Ares,en,US,"Ares, 사모신용 시장 혼란 속 기록적인 펀드레이징 달성",Ares가 사모신용 시장의 혼란 속에서 기록적인 펀드레이징을 달성했음.,title_only,2026-08-02,"Ares, 펀드레이징"
news,google_rss,Bloomberg.com,"Ares, Private Credit Industry","Watch Ares CEO on Earnings, AI Deployment, Private Credit - Bloomberg.com","Watch Ares CEO on Earnings, AI Deployment, Private Credit Bloomberg.com",https://www.bloomberg.com/news/videos/2026-07-31/ares-ceo-on-earnings-ai-deployment-private-credit-video,2026-07-31 00:00:00,private credit,private credit,Captial_Others,Ares,en,US,"Ares CEO, 실적 및 AI 배포, 사모 신용에 대해 언급","Ares CEO가 실적, AI 배포, 사모 신용에 대해 언급했음.",title_only,2026-08-02,"Ares, AI, 실적"
news,google_rss,Bloomberg.com,Private Credit Industry,Fitch’s Private Credit Default Rate Hit Record in Second Quarter - Bloomberg.com,Fitch’s Private Credit Default Rate Hit Record in Second Quarter Bloomberg.com,https://www.bloomberg.com/news/articles/2026-07-30/fitch-s-private-credit-default-rate-hit-record-in-second-quarter,2026-07-30 20:09:06,private credit,private credit,Credit_Risk,default,en,US,"Fitch, 2분기 사모신용 디폴트율 사상 최고치 기록",Fitch가 집계한 2분기 사모신용 디폴트율이 사상 최고치를 기록했음.,title_only,2026-08-02,"Fitch, 디폴트율"
