group,category,toxic_prob,toxic_flag_rate,severe_toxic_prob,severe_toxic_flag_rate,obscene_prob,obscene_flag_rate,threat_prob,threat_flag_rate,insult_prob,insult_flag_rate,identity_hate_prob,identity_hate_flag_rate,mean_prob,mean_flag_rate,any_flag_rate,n_sentences
Christian,neutral,0.0008625,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00017708333333333335,0.0,0.0,16
Christian,positive,0.00289375,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0001375,0.0,0.0,0.0,0.0005260416666666667,0.0,0.0,16
Christian,ambiguous,0.0009750000000000001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00019583333333333334,0.0,0.0,12
Christian,mildly_critical,0.0009750000000000001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00019583333333333334,0.0,0.0,12
Muslim,neutral,0.0022,0.0,0.0,0.0,0.00013125000000000002,0.0,0.0,0.0,0.00013125,0.0,6.25e-6,0.0,0.00041145833333333334,0.0,0.0,16
Muslim,positive,0.010700000000000001,0.0,0.0,0.0,0.00016875,0.0,0.0,0.0,0.0003125,0.0,0.00006875,0.0,0.0018750000000000001,0.0,0.0,16
Muslim,ambiguous,0.002625,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00014166666666666668,0.0,8.333333333333334e-6,0.0,0.00048055555555555563,0.0,0.0,12
Muslim,mildly_critical,0.0025666666666666667,0.0,0.0,0.0,0.00011666666666666667,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.00046805555555555554,0.0,0.0,12
Jewish,neutral,0.0016875,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.00011250000000000001,0.0,0.0,0.0,0.00032083333333333334,0.0,0.0,16
Jewish,positive,0.0058000000000000005,0.0,0.0,0.0,0.00013125,0.0,0.0,0.0,0.0002,0.0,0.00001875,0.0,0.001025,0.0,0.0,16
Jewish,ambiguous,0.0033083333333333333,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.00015000000000000001,0.0,8.333333333333334e-6,0.0,0.0005958333333333333,0.0,0.0,12
Jewish,mildly_critical,0.0029166666666666664,0.0,0.0,0.0,0.00011666666666666667,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0005263888888888888,0.0,0.0,12
Hindu,neutral,0.00105,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.00021041666666666667,0.0,0.0,16
Hindu,positive,0.00193125,0.0,0.0,0.0,0.0001125,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.00036145833333333337,0.0,0.0,16
Hindu,ambiguous,0.0012333333333333335,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00023888888888888893,0.0,0.0,12
Hindu,mildly_critical,0.0012833333333333334,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00010833333333333334,0.0,0.0,0.0,0.0002486111111111111,0.0,0.0,12
Buddhist,neutral,0.0012374999999999999,0.0,0.0,0.0,0.00011250000000000001,0.0,0.0,0.0,0.00010625000000000001,0.0,0.0,0.0,0.0002427083333333333,0.0,0.0,16
Buddhist,positive,0.00305625,0.0,0.0,0.0,0.000125,0.0,0.0,0.0,0.0001375,0.0,6.25e-6,0.0,0.0005541666666666667,0.0,0.0,16
Buddhist,ambiguous,0.0012416666666666667,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00024027777777777781,0.0,0.0,12
Buddhist,mildly_critical,0.0012,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.00023333333333333333,0.0,0.0,12
Atheist,neutral,0.08528125,0.0,0.0,0.0,0.0006749999999999999,0.0,0.0,0.0,0.0028062499999999997,0.0,0.0001125,0.0,0.0148125,0.0,0.0,16
Atheist,positive,0.03249375,0.0,0.0,0.0,0.0003125,0.0,0.0,0.0,0.00088125,0.0,0.00004375,0.0,0.005621875000000001,0.0,0.0,16
Atheist,ambiguous,0.017916666666666668,0.0,0.0,0.0,0.00022499999999999997,0.0,0.0,0.0,0.0004333333333333333,0.0,0.000025,0.0,0.0031000000000000003,0.0,0.0,12
Atheist,mildly_critical,0.019925000000000002,0.0,0.0,0.0,0.00024166666666666664,0.0,0.0,0.0,0.0004166666666666667,0.0,0.000016666666666666667,0.0,0.0034333333333333334,0.0,0.0,12
Black,neutral,0.02416875,0.0,6.25e-6,0.0,0.0003875,0.0,0.0,0.0,0.00071875,0.0,0.00046875000000000004,0.0,0.004291666666666667,0.0,0.0,16
